"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"09/18/2020","55","PM2.5","Columbia","47-119-2007","AQS","2","38","21","55","10"
"09/19/2020","47","PM2.5","Columbia","47-119-2007","AQS","2","36","16","47","20"
"09/20/2020","46","PM2.5","Columbia","47-119-2007","AQS","2","40","16","46","14"
"09/21/2020","41","Ozone","Hendersonville","47-165-0007","AQS","5","41","15","30","27"
"09/22/2020","40","Ozone","Hendersonville","47-165-0007","AQS","5","40","16","36","24"
"09/23/2020","36","PM2.5","Lockeland","47-037-0023","AQS","3","31","15","36","23"
"09/24/2020","32","PM2.5","Hendersonville","47-165-0007","AQS","3","25","11","32","16"
"09/25/2020","27","PM2.5","Lockeland","47-037-0023","AQS","5","25","11","27","19"
"09/26/2020","34","PM2.5","Lockeland","47-037-0023","AQS","6","28","13","34","23"
"09/27/2020","41","PM2.5","Lockeland","47-037-0023","AQS","7","32","14","41","25"
"09/28/2020","38","PM2.5","Lockeland","47-037-0023","AQS","5","27","14","38","23"
"09/29/2020","26","Ozone","Fairview","47-187-0106","AQS","5","26",".","23","20"
"09/30/2020","37","Ozone","Hendersonville","47-165-0007","AQS","3","37","18","26","25"
"10/01/2020","35","Ozone","Fairview","47-187-0106","AQS","2","35","21","23","27"
"10/02/2020","32","PM2.5","Lockeland","47-037-0023","AQS","2","25","14","32","18"
"10/03/2020","52","PM2.5","Lockeland","47-037-0023","AQS","8","35","19","52","34"
"10/04/2020","51","PM2.5","Lockeland","47-037-0023","AQS","9","32","19","51","16"
"10/05/2020","43","PM2.5","Lockeland","47-037-0023","AQS","6","36","16","43","31"
"10/06/2020","53","PM2.5","Near Road Site","47-037-0040","AQS","8","42","22","53","39"
"10/07/2020","55","PM2.5","Lockeland","47-037-0023","AQS","8","46","28","55","38"
"10/08/2020","102","PM2.5","Lockeland","47-037-0023","AQS","10","47","55","102","41"
"10/09/2020","90","PM2.5","Lockeland","47-037-0023","AQS","13","29","39","90","26"
"10/10/2020","41","PM2.5","Lockeland","47-037-0023","AQS","3","24","14","41","15"
"10/11/2020","19","Ozone","Hendersonville","47-165-0007","AQS","2","19","8","18","12"
"10/12/2020","37","PM2.5","Lockeland","47-037-0023","AQS","5","29","19","37","23"
"10/13/2020","37","Ozone","Hendersonville","47-165-0007","AQS","7","37","13","29","37"
"10/14/2020","42","NO2","Near Road Site","47-037-0040","AQS","8","40","19","35","42"
"10/15/2020","42","Ozone","Cedars of Lebanon","47-189-0103","AQS","5","42","17","38","25"
"10/16/2020","49","PM2.5","Lockeland","47-037-0023","AQS","5","32",".","49","29"
"10/17/2020","49","PM2.5","Lockeland","47-037-0023","AQS","8","38",".","49","37"
"10/18/2020","37","PM2.5","Lockeland","47-037-0023","AQS","5","37",".","37","23"
"10/19/2020","49","PM2.5","Lockeland","47-037-0023","AQS","3","32","20","49","30"
"10/20/2020","53","PM2.5","Near Road Site","47-037-0040","AQS","8","37","22","53","38"
"10/21/2020","52","PM2.5","Near Road Site","47-037-0040","AQS","8","40","20","52","35"
"10/22/2020","40","PM2.5","Near Road Site","47-037-0040","AQS","8","33","16","40","28"
"10/23/2020","32","PM2.5","Near Road Site","47-037-0040","AQS","5","30","14","32","22"
"10/24/2020","20","PM2.5","Lockeland","47-037-0023","AQS","1","7","6","20","6"
"10/25/2020","36","PM2.5","Lockeland","47-037-0023","AQS","1","8","12","36","7"
"10/26/2020","42","PM2.5","Columbia","47-119-2007","AQS","1","11","9","42","6"
"10/27/2020","48","PM2.5","Lockeland","47-037-0023","AQS","3","10","18","48","15"
"10/28/2020","42","PM2.5","Lockeland","47-037-0023","AQS","3","13","15","42","10"
"10/29/2020","21","PM2.5","Lockeland","47-037-0023","AQS","5","21","10","21","14"
"10/30/2020","49","PM2.5","Lockeland","47-037-0023","AQS","1","29","15","49","22"
"10/31/2020","51","PM2.5","Lockeland","47-037-0023","AQS","6","32","16","51","32"
"11/01/2020","31","Ozone","East Health Center","47-037-0011","AQS","6","31","12","27","17"
"11/02/2020","41","NO2","Near Road Site","47-037-0040","AQS","6",".","20","40","41"
"11/03/2020","55","PM2.5","Lockeland","47-037-0023","AQS","7",".","26","55","38"
